UMIC:	O
An	O
Unreferenced	O
Metric	O
for	O
Image	B-RESEARCH_PROBLEM
Captioning	E-RESEARCH_PROBLEM
via	O
Contrastive	B-RESEARCH_PROBLEM
Learning	E-RESEARCH_PROBLEM

Denoising	O
Distantly	B-RESEARCH_PROBLEM
Supervised	I-RESEARCH_PROBLEM
Open-Domain	I-RESEARCH_PROBLEM
Question	I-RESEARCH_PROBLEM
Answering	E-RESEARCH_PROBLEM

Acquiring	O
Knowledge	O
from	O
the	O
Web	O
to	O
be	O
used	O
as	O
Selectors	O
for	O
Noun	B-RESEARCH_PROBLEM
Sense	I-RESEARCH_PROBLEM
Disambiguation	E-RESEARCH_PROBLEM

Multi-tape	B-RESEARCH_PROBLEM
Computing	E-RESEARCH_PROBLEM
with	O
Synchronous	O
Relations	O

A	O
Conceptual	O
Framework	O
for	O
Inferring	B-RESEARCH_PROBLEM
Implicatures	E-RESEARCH_PROBLEM

Cellular	O
Traffic	B-RESEARCH_PROBLEM
Prediction	E-RESEARCH_PROBLEM
and	O
Classification:	O
a	O
comparative	O
evaluation	O
of	O
LSTM	O
and	O
ARIMA	O

Multiscale	O
CNN	O
based	O
Deep	O
Metric	B-RESEARCH_PROBLEM
Learning	E-RESEARCH_PROBLEM
for	O
Bioacoustic	O
Classification:	O
Overcoming	O
Training	O
Data	O
Scarcity	O
Using	O
Dynamic	O
Triplet	O
Loss	O

Deep	O
Learning	O
Architecture	O
for	O
Patient	B-RESEARCH_PROBLEM
Data	I-RESEARCH_PROBLEM
De-identification	E-RESEARCH_PROBLEM
in	O
Clinical	O
Records	O

The	O
Social	O
Mood	O
of	O
News:	O
Self-reported	O
Annotations	O
to	O
Design	B-RESEARCH_PROBLEM
Automatic	I-RESEARCH_PROBLEM
Mood	I-RESEARCH_PROBLEM
Detection	I-RESEARCH_PROBLEM
Systems	E-RESEARCH_PROBLEM

DCU	O
System	O
Report	O
on	O
the	B-RESEARCH_PROBLEM
WMT	I-RESEARCH_PROBLEM
2017	I-RESEARCH_PROBLEM
Multi-modal	I-RESEARCH_PROBLEM
Machine	I-RESEARCH_PROBLEM
Translation	I-RESEARCH_PROBLEM
Task	E-RESEARCH_PROBLEM

A	O
Study	O
On	O
Richer	O
Syntactic	O
Dependencies	O
For	O
Structured	B-RESEARCH_PROBLEM
Language	I-RESEARCH_PROBLEM
Modeling	E-RESEARCH_PROBLEM
.	O

A	O
Unified	O
Syntax-aware	O
Framework	O
for	O
Semantic	B-RESEARCH_PROBLEM
Role	I-RESEARCH_PROBLEM
Labeling	E-RESEARCH_PROBLEM

Convolutional	O
Neural	O
Networks	O
for	O
Financial	B-RESEARCH_PROBLEM
Text	I-RESEARCH_PROBLEM
Regression	E-RESEARCH_PROBLEM

Exploring	O
Features	O
for	O
Named	B-RESEARCH_PROBLEM
Entity	I-RESEARCH_PROBLEM
Recognition	E-RESEARCH_PROBLEM
in	O
Lithuanian	O
Text	O
Corpus	O

A	O
general	O
framework	O
for	O
minimizing	O
translation	O
effort:	O
towards	O
a	O
principled	O
combination	O
of	O
translation	O
technologies	O
in	O
computer-aided	B-RESEARCH_PROBLEM
translation	E-RESEARCH_PROBLEM

Emotional	B-RESEARCH_PROBLEM
Neural	I-RESEARCH_PROBLEM
Language	I-RESEARCH_PROBLEM
Generation	E-RESEARCH_PROBLEM
Grounded	O
in	O
Situational	O
Contexts	O

Evaluating	O
Explanation	O
Methods	O
for	O
Neural	B-RESEARCH_PROBLEM
Machine	I-RESEARCH_PROBLEM
Translation	E-RESEARCH_PROBLEM

Experimental	B-RESEARCH_PROBLEM
Modeling	E-RESEARCH_PROBLEM
of	O
Human-human	O
Multi-threaded	O
Dialogues	O
in	O
the	O
Presence	O
of	O
a	O
Manual-visual	O
Task	O

Tchebycheff	O
Procedure	O
for	O
Multi-task	B-RESEARCH_PROBLEM
Text	I-RESEARCH_PROBLEM
Classification	E-RESEARCH_PROBLEM

Experiments	O
with	O
DBpedia,	O
WordNet	O
and	O
SentiWordNet	O
as	O
resources	O
for	O
sentiment	B-RESEARCH_PROBLEM
analysis	E-RESEARCH_PROBLEM
in	O
micro-blogging	O

The	O
interplay	O
between	O
lexical	O
resources	O
and	O
Natural	B-RESEARCH_PROBLEM
Language	I-RESEARCH_PROBLEM
Processing	E-RESEARCH_PROBLEM

Uncertainty-aware	O
GAN	O
with	O
Adaptive	O
Loss	O
for	O
Robust	O
MRI	O
Image	B-RESEARCH_PROBLEM
Enhancement	E-RESEARCH_PROBLEM

Cross-modal	O
Learning	O
for	O
Domain	B-RESEARCH_PROBLEM
Adaptation	E-RESEARCH_PROBLEM
in	O
3D	B-RESEARCH_PROBLEM
Semantic	I-RESEARCH_PROBLEM
Segmentation	E-RESEARCH_PROBLEM

A	O
Speech	O
and	O
Gesture	O
Spatial	O
Corpus	O
in	O
Assisted	B-RESEARCH_PROBLEM
Living	E-RESEARCH_PROBLEM

Rotational	O
Rectification	S-RESEARCH_PROBLEM
Network:	O
Enabling	O
Pedestrian	B-RESEARCH_PROBLEM
Detection	E-RESEARCH_PROBLEM
for	O
Mobile	O
