In	O
this	O
paper	O
,	O
we	O
present	O
a	O
preliminary	O
version	O
of	O
COOPML	O
,	O
a	O
language	O
designed	O
for	O
annotating	O
cooperative	B-RESEARCH_PROBLEM
discourse	E-RESEARCH_PROBLEM
.	O
We	O
investigate	O
the	O
different	O
linguistic	B-METHOD
marks	E-METHOD
that	O
identify	O
and	O
characterize	O
the	O
different	O
forms	O
of	O
cooperativity	S-RESEARCH_PROBLEM
found	O
in	O
written	O
texts	O
from	O
FAQs	O
,	O
Forums	O
and	O
emails	O
.	O

Corpus-based	O
stochastic	O
language	O
models	O
have	O
achieved	O
significant	O
success	O
in	O
speech	O
recognition	O
,	O
but	O
construction	O
of	O
a	O
corpus	O
pertaining	O
to	O
a	O
specific	O
application	O
is	O
a	O
difficult	O
task	O
.	O
This	O
paper	O
introduces	O
a	O
Case-Based	B-METHOD
Reasoning	E-METHOD
system	O
to	O
generate	B-RESEARCH_PROBLEM
natural	I-RESEARCH_PROBLEM
language	E-RESEARCH_PROBLEM
corpora	O
.	O
In	O
comparison	O
to	O
traditional	O
natural	B-RESEARCH_PROBLEM
language	I-RESEARCH_PROBLEM
generation	E-RESEARCH_PROBLEM
approaches	O
,	O
this	O
system	O
overcomes	O
the	O
inflexibility	O
of	O
template-based	O
methods	O
while	O
avoiding	O
the	O
linguistic	O
sophistication	O
of	O
rule-based	O
packages	O
.	O
The	O
evaluation	O
of	O
the	O
system	O
indicates	O
our	O
approach	O
is	O
effective	O
in	O
generating	S-RESEARCH_PROBLEM
users	O
'	O
specifications	O
or	O
queries	O
as	O
98	O
%	O
of	O
the	O
generated	O
sentences	O
are	O
grammatically	O
correct	O
.	O
The	O
study	O
result	O
also	O
shows	O
that	O
the	O
language	B-METHOD
model	E-METHOD
derived	O
from	O
the	O
generated	O
corpus	O
can	O
significantly	O
outperform	O
a	O
general	O
language	O
model	O
or	O
a	O
dictation	O
grammar	O
.	O

In	O
this	O
paper	O
,	O
we	O
will	O
compare	O
and	O
evaluate	O
the	O
effectiveness	O
of	O
different	O
statistical	S-METHOD
methods	O
in	O
the	O
task	O
of	O
cross-document	B-RESEARCH_PROBLEM
coreference	I-RESEARCH_PROBLEM
resolution	E-RESEARCH_PROBLEM
.	O
We	O
created	O
entity	S-METHOD
models	O
for	O
different	O
test	O
sets	O
and	O
compare	O
the	O
following	O
disambiguation	B-METHOD
and	I-METHOD
clustering	E-METHOD
techniques	O
to	O
cluster	S-METHOD
the	O
entity	S-METHOD
models	O
in	O
order	O
to	O
create	O
coreference	B-RESEARCH_PROBLEM
chains	E-RESEARCH_PROBLEM
:	O
Incremental	B-METHOD
Vector	I-METHOD
Space	I-METHOD
KL-Divergence	I-METHOD
Agglomerative	I-METHOD
Vector	I-METHOD
Space	E-METHOD

This	O
article	O
provides	O
description	O
about	O
the	O
grammar	B-RESEARCH_PROBLEM
checking	E-RESEARCH_PROBLEM
software	O
developed	O
for	O
detecting	O
the	O
grammatical	B-RESEARCH_PROBLEM
errors	E-RESEARCH_PROBLEM
in	O
Punjabi	O
texts	O
and	O
providing	O
suggestions	O
wherever	O
appropriate	O
to	O
rectify	O
those	O
errors	O
.	O
This	O
system	O
utilizes	O
a	O
full-form	O
lexicon	S-METHOD
for	O
morphology	S-METHOD
analysis	O
and	O
rule-based	S-METHOD
systems	O
for	O
part	B-METHOD
of	I-METHOD
speech	I-METHOD
tagging	E-METHOD
and	O
phrase	B-METHOD
chunking	E-METHOD
.	O
The	O
system	O
supported	O
by	O
a	O
set	O
of	O
carefully	O
devised	O
error	B-RESEARCH_PROBLEM
detection	E-RESEARCH_PROBLEM
rules	S-METHOD
can	O
detect	O
and	O
suggest	O
rectifications	O
for	O
a	O
number	O
of	O
grammatical	B-RESEARCH_PROBLEM
errors	E-RESEARCH_PROBLEM
,	O
resulting	O
from	O
lack	O
of	O
agreement	O
,	O
order	O
of	O
words	O
in	O
various	O
phrases	O
etc.	O
,	O
in	O
literary	O
style	O
Punjabi	O
texts	O
.	O

Active	B-METHOD
learning	E-METHOD
is	O
well-suited	O
to	O
many	O
problems	O
in	O
natural	O
language	O
processing	O
,	O
where	O
unlabeled	O
data	O
may	O
be	O
abundant	O
but	O
annotation	O
is	O
slow	O
and	O
expensive	O
.	O
This	O
paper	O
aims	O
to	O
shed	O
light	O
on	O
the	O
best	O
active	B-METHOD
learning	E-METHOD
approaches	O
for	O
sequence	B-RESEARCH_PROBLEM
labeling	E-RESEARCH_PROBLEM
tasks	O
such	O
as	O
information	B-RESEARCH_PROBLEM
extraction	E-RESEARCH_PROBLEM
and	O
document	B-RESEARCH_PROBLEM
segmentation	E-RESEARCH_PROBLEM
.	O
Wesurveypreviouslyusedqueryselection	O
strategies	O
for	O
sequence	S-RESEARCH_PROBLEM
models	O
,	O
and	O
propose	O
several	O
novel	O
algorithms	O
to	O
address	O
their	O
shortcomings	O
.	O
We	O
also	O
conduct	O
a	O
large-scale	O
empirical	O
comparison	O
using	O
multiple	O
corpora	O
,	O
which	O
demonstrates	O
that	O
our	O
proposed	O
methods	O
advance	O
the	O
state	O
of	O
the	O
art	O
.	O

The	O
purpose	O
of	O
this	O
study	O
is	O
to	O
propose	O
a	O
new	O
method	O
for	O
machine	B-RESEARCH_PROBLEM
translation	E-RESEARCH_PROBLEM
.	O
Wehave	O
proceeded	O
through	O
with	O
two	O
projects	O
for	O
report	O
generation	O
-LRB-	O
Kittredge	O
and	O
Polguere	O
,	O
2000	O
-RRB-	O
:	O
Weather	O
Forecast	O
and	O
Monthly	O
Economic	O
Report	O
to	O
be	O
produced	O
in	O
four	O
languages	O
:	O
English	O
,	O
Japanese	O
,	O
French	O
,	O
and	O
German	O
.	O
Their	O
input	O
data	O
is	O
stored	O
in	O
XML-DB	O
.	O
We	O
applied	O
a	O
three-stage	O
pipelined	O
architecture	O
-LRB-	O
Reiter	O
and	O
Dale	O
,	O
2000	O
-RRB-	O
,	O
and	O
each	O
stage	O
was	O
implemented	O
as	O
XML	B-METHOD
transformation	I-METHOD
processes	E-METHOD
.	O
Weregard	O
XML	O
stored	O
data	O
as	O
language-neutral	O
intermediate	O
form	O
and	O
employ	O
the	O
so-called	O
`	O
sublanguage	S-METHOD
approach	O
'	O
-LRB-	O
Somers	O
,	O
2000	O
-RRB-	O
.	O
The	O
machine	B-RESEARCH_PROBLEM
translation	E-RESEARCH_PROBLEM
process	O
is	O
implemented	O
via	O
XMLDB	S-METHOD
as	O
a	O
kind	O
of	O
interlingua	O
approach	O
instead	O
of	O
the	O
conventional	O
structure	O
transfer	O
approach	O
.	O

We	O
describe	O
an	O
efficient	O
bottom-up	S-METHOD
parser	S-RESEARCH_PROBLEM
that	O
interleaves	O
syntactic	O
and	O
semantic	O
structure	O
building	O
.	O
Two	O
techniques	O
are	O
presented	O
for	O
reducing	O
search	O
by	O
reducing	O
local	O
ambiguity	O
:	O
Limited	O
leftcontext	B-METHOD
constraints	E-METHOD
are	O
used	O
to	O
reduce	O
local	O
syntactic	O
ambiguity	O
,	O
and	O
deferred	B-METHOD
sortal-constraint	E-METHOD
application	O
is	O
used	O
to	O
reduce	O
local	O
semantic	O
ambiguity	O
.	O
We	O
experimentally	O
evaluate	O
these	O
techniques	O
,	O
and	O
show	O
dramatic	O
reductions	O
in	O
both	O
number	O
of	O
chart	O
edges	O
and	O
total	O
parsing	S-RESEARCH_PROBLEM
time	O
.	O
The	O
robust	O
processing	O
capabilities	O
of	O
the	O
parser	S-RESEARCH_PROBLEM
are	O
demonstrated	O
in	O
its	O
use	O
in	O
improving	O
the	O
accuracy	O
of	O
a	O
speech	B-RESEARCH_PROBLEM
recognizer	E-RESEARCH_PROBLEM
.	O

The	O
field	O
of	O
intelligent	O
tutoring	S-RESEARCH_PROBLEM
systems	O
has	O
seen	O
many	O
successes	O
in	O
recent	O
years	O
.	O
A	O
significant	O
remaining	O
challenge	O
is	O
the	O
automatic	O
creation	O
of	O
corpus-based	O
tutorial	B-RESEARCH_PROBLEM
dialogue	I-RESEARCH_PROBLEM
management	E-RESEARCH_PROBLEM
models	O
.	O
This	O
paper	O
reports	O
on	O
early	O
work	O
toward	O
this	O
goal	O
.	O
We	O
identify	O
tutorial	B-RESEARCH_PROBLEM
dialogue	E-RESEARCH_PROBLEM
modes	O
in	O
an	O
unsupervised	S-METHOD
fashion	O
using	O
hidden	B-METHOD
Markov	E-METHOD
models	O
-LRB-	O
HMMs	S-METHOD
-RRB-	O
trained	O
on	O
input	O
sequences	O
of	O
manually-labeled	O
dialogue	O
acts	O
and	O
adjacency	O
pairs	O
.	O
The	O
two	O
best-fit	O
HMMs	S-METHOD
are	O
presented	O
and	O
compared	O
with	O
respect	O
to	O
the	O
dialogue	B-RESEARCH_PROBLEM
structure	E-RESEARCH_PROBLEM
they	O
suggest	O
;	O
we	O
also	O
discuss	O
potential	O
uses	O
of	O
the	O
methodology	O
for	O
future	O
work	O
.	O

:	O
This	O
paper	O
presents	O
a	O
novel	O
multi-lingual	B-RESEARCH_PROBLEM
progress	I-RESEARCH_PROBLEM
protocol	I-RESEARCH_PROBLEM
generation	E-RESEARCH_PROBLEM
module	O
.	O
The	O
module	O
is	O
used	O
within	O
the	O
speech-to	B-RESEARCH_PROBLEM
--	I-RESEARCH_PROBLEM
speech	I-RESEARCH_PROBLEM
translation	E-RESEARCH_PROBLEM
system	O
VERBMOBIL	O
.	O
The	O
task	O
of	O
the	O
protocol	O
is	O
to	O
give	O
the	O
dialogue	O
partners	O
a	O
brief	O
description	O
of	O
the	O
content	O
of	O
their	O
dialogue	O
.	O
We	O
utilize	O
an	O
.	O
abstract	O
representation	O
describing	O
,	O
for	O
instance	O
,	O
thematic	S-METHOD
information	O
and	O
dialogue	B-METHOD
acts	E-METHOD
of	O
the	O
dialogue	O
utterances	O
.	O
From	O
this	O
representation	O
we	O
generate	O
simplified	O
paraphrases	S-METHOD
of	O
the	O
individual	O
turns	O
of	O
the	O
dialogue	O
which	O
together	O
make	O
up	O
the	O
protocol	O
.	O
Instead	O
of	O
writing	O
